Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,1.6182020000000001,1.613111,1.6182020000000001,1.613294,1.613294,0
2010-01-04,1.613294,1.613294,1.613294,1.61137,1.61137,0
2010-01-05,1.6118629999999998,1.59701,1.615587,1.5990790000000001,1.5990790000000001,0
2010-01-06,1.5993600000000001,1.594388,1.606323,1.602384,1.602384,0
2010-01-07,1.6022049999999999,1.590078,1.605858,1.593397,1.593397,0
2010-01-08,1.593803,1.591799,1.610099,1.6024100000000001,1.6024100000000001,0
2010-01-11,1.6024100000000001,1.6067870000000002,1.6024100000000001,1.611292,1.611292,0
2010-01-12,1.6115,1.606606,1.619617,1.61517,1.61517,0
2010-01-13,1.615509,1.613918,1.630098,1.628611,1.628611,0
2010-01-14,1.628214,1.625329,1.634735,1.6334,1.6334,0
2010-01-15,1.63372,1.6222969999999999,1.635109,1.626995,1.626995,0
2010-01-18,1.626995,1.62681,1.627498,1.6352959999999999,1.6352959999999999,0
2010-01-19,1.635216,1.631481,1.6457650000000001,1.6356709999999999,1.6356709999999999,0
2010-01-20,1.636233,1.624854,1.63717,1.6298059999999999,1.6298059999999999,0
2010-01-21,1.630391,1.613111,1.631321,1.620509,1.620509,0
2010-01-22,1.619486,1.608105,1.628479,1.611006,1.611006,0
2010-01-25,1.611006,1.611006,1.612097,1.6250120000000001,1.6250120000000001,0
2010-01-26,1.624827,1.6097620000000001,1.626995,1.6147,1.6147,0
2010-01-27,1.6147,1.611292,1.6244049999999999,1.617809,1.617809,0
2010-01-28,1.617809,1.6116030000000001,1.627631,1.614309,1.614309,0
2010-01-29,1.614674,1.5983120000000002,1.61794,1.5984909999999999,1.5984909999999999,0
2010-02-01,1.5984909999999999,1.5984909999999999,1.597699,1.595253,1.595253,0
2010-02-02,1.5951,1.590811,1.599565,1.599207,1.599207,0
2010-02-03,1.599309,1.5885120000000001,1.606994,1.5920020000000001,1.5920020000000001,0
2010-02-04,1.5919,1.573539,1.591926,1.576989,1.576989,0
2010-02-05,1.576989,1.5562989999999999,1.57781,1.565803,1.565803,0
2010-02-08,1.565803,1.5615,1.565803,1.557608,1.557608,0
2010-02-09,1.5571959999999998,1.55659,1.5738860000000001,1.569391,1.569391,0
2010-02-10,1.569415,1.5574379999999999,1.576541,1.561207,1.561207,0
2010-02-11,1.561402,1.55659,1.571685,1.5702040000000002,1.5702040000000002,0
2010-02-12,1.5702040000000002,1.5587010000000001,1.5738860000000001,1.569809,1.569809,0
2010-02-15,1.569809,1.567177,1.569809,1.566711,1.566711,0
2010-02-16,1.566637,1.563257,1.5795540000000001,1.579005,1.579005,0
2010-02-17,1.578906,1.566907,1.5817780000000001,1.568209,1.568209,0
2010-02-18,1.5684799999999999,1.541687,1.5688,1.542305,1.542305,0
2010-02-19,1.543591,1.536311,1.547796,1.546408,1.546408,0
2010-02-22,1.546408,1.5451409999999999,1.546408,1.548659,1.548659,0
2010-02-23,1.550339,1.5398120000000002,1.5571959999999998,1.544592,1.544592,0
2010-02-24,1.544592,1.53903,1.547245,1.541711,1.541711,0
2010-02-25,1.5420909999999999,1.519595,1.542258,1.52439,1.52439,0
2010-02-26,1.523833,1.515611,1.530807,1.523902,1.523902,0
