Date,Open,High,Low,Close,Adj Close,Volume,Date,Open,High,Low,Close,Adj Close,Volume,FTSE DIFF,GBP DIFF,FTSE Classifier,Num Class
4/1/2010,5412.899902,5500.299805,5410.799805,5500.299805,5500.299805,750942000,4/1/2010,1.613294,1.613294,1.613294,1.61137,1.61137,0,,,,
5/1/2010,5500.299805,5536.399902,5480.700195,5522.5,5522.5,1149301200,5/1/2010,1.611863,1.59701,1.615587,1.599079,1.599079,0,22.200195,-0.012291,RISE,1
6/1/2010,5522.5,5536.5,5497.700195,5530,5530,998295300,6/1/2010,1.59936,1.594388,1.606323,1.602384,1.602384,0,7.5,0.003305,RISE,1
7/1/2010,5530,5551.700195,5499.799805,5526.700195,5526.700195,1162933700,7/1/2010,1.602205,1.590078,1.605858,1.593397,1.593397,0,-3.299805,-0.008987,FALL,0
8/1/2010,5526.700195,5549.299805,5494.799805,5534.200195,5534.200195,1006420600,8/1/2010,1.593803,1.591799,1.610099,1.60241,1.60241,0,7.5,0.009013,RISE,1
11/1/2010,5534.200195,5600.5,5527.899902,5538.100098,5538.100098,901194900,11/1/2010,1.60241,1.606787,1.60241,1.611292,1.611292,0,3.899903,0.008882,RISE,1
12/1/2010,5538.100098,5549.600098,5459.899902,5498.700195,5498.700195,957401700,12/1/2010,1.6115,1.606606,1.619617,1.61517,1.61517,0,-39.399903,0.003878,FALL,0
13/1/2010,5498.700195,5509.700195,5450.899902,5473.5,5473.5,849923000,13/1/2010,1.615509,1.613918,1.630098,1.628611,1.628611,0,-25.200195,0.013441,FALL,0
14/1/2010,5473.5,5521.899902,5473.5,5498.200195,5498.200195,928036100,14/1/2010,1.628214,1.625329,1.634735,1.6334,1.6334,0,24.700195,0.004789,RISE,1
15/1/2010,5498.200195,5527,5450.399902,5455.399902,5455.399902,1743437800,15/1/2010,1.63372,1.622297,1.635109,1.626995,1.626995,0,-42.800293,-0.006405,FALL,0
18/1/2010,5513.100098,5513.100098,5404,5420.799805,5420.799805,1199200900,18/1/2010,1.626995,1.62681,1.627498,1.635296,1.635296,0,-34.600097,0.008301,FALL,0
19/1/2010,5420.799805,5468.399902,5331.600098,5335.100098,5335.100098,1345500500,19/1/2010,1.635216,1.631481,1.645765,1.635671,1.635671,0,-85.699707,0.000375,FALL,0
20/1/2010,5335.100098,5345.600098,5253,5303,5303,1645842400,20/1/2010,1.636233,1.624854,1.63717,1.629806,1.629806,0,-32.100098,-0.005865,FALL,0
21/1/2010,5303,5330.600098,5252.899902,5260.299805,5260.299805,1024448800,21/1/2010,1.630391,1.613111,1.631321,1.620509,1.620509,0,-42.700195,-0.009297,FALL,0
22/1/2010,5260.299805,5276.899902,5215.700195,5276.899902,5276.899902,1015919800,22/1/2010,1.619486,1.608105,1.628479,1.611006,1.611006,0,16.600097,-0.009503,RISE,1
25/1/2010,5145.700195,5230.200195,5145.700195,5188.5,5188.5,1281845800,25/1/2010,1.611006,1.611006,1.612097,1.625012,1.625012,0,-88.399902,0.014006,FALL,0
26/1/2010,5188.5,5250.100098,5163.600098,5247.399902,5247.399902,934766100,26/1/2010,1.624827,1.609762,1.626995,1.6147,1.6147,0,58.899902,-0.010312,RISE,1
27/1/2010,5247.399902,5289.100098,5208.200195,5283.299805,5283.299805,1105691000,27/1/2010,1.6147,1.611292,1.624405,1.617809,1.617809,0,35.899903,0.003109,RISE,1
28/1/2010,5283.299805,5305.399902,5237.700195,5253.200195,5253.200195,1140388100,28/1/2010,1.617809,1.611603,1.627631,1.614309,1.614309,0,-30.09961,-0.0035,FALL,0
29/1/2010,5253.200195,5262.200195,5123.899902,5139.299805,5139.299805,1725801600,29/1/2010,1.614674,1.598312,1.61794,1.598491,1.598491,0,-113.90039,-0.015818,FALL,0
1/2/2010,5092.299805,5132.899902,5084.799805,5111.799805,5111.799805,1284674100,1/2/2010,1.598491,1.598491,1.597699,1.595253,1.595253,0,-27.5,-0.003238,FALL,0
2/2/2010,5111.799805,5181.200195,5105.299805,5132,5132,1191910000,2/2/2010,1.5951,1.590811,1.599565,1.599207,1.599207,0,20.200195,0.003954,RISE,1
3/2/2010,5132,5201.799805,5114.5,5161.5,5161.5,1565807200,3/2/2010,1.599309,1.588512,1.606994,1.592002,1.592002,0,29.5,-0.007205,RISE,1
4/2/2010,5161.5,5207.700195,5117.399902,5142.5,5142.5,1285903300,4/2/2010,1.5919,1.573539,1.591926,1.576989,1.576989,0,-19,-0.015013,FALL,0
5/2/2010,5142.5,5194.299805,5142.5,5167.5,5167.5,591532800,5/2/2010,1.576989,1.556299,1.57781,1.565803,1.565803,0,25,-0.011186,RISE,1
8/2/2010,5276.600098,5326.399902,5261.700195,5325.100098,5325.100098,966085200,8/2/2010,1.565803,1.5615,1.565803,1.557608,1.557608,0,157.600098,-0.008195,RISE,1
9/2/2010,5325.100098,5366.100098,5281.399902,5358.200195,5358.200195,1469031000,9/2/2010,1.557196,1.55659,1.573886,1.569391,1.569391,0,33.100097,0.011783,RISE,1
10/2/2010,5358.200195,5387,5348.200195,5352.100098,5352.100098,961342400,10/2/2010,1.569415,1.557438,1.576541,1.561207,1.561207,0,-6.100097,-0.008184,FALL,0
11/2/2010,5352.100098,5395.5,5302,5315.100098,5315.100098,1063966500,11/2/2010,1.561402,1.55659,1.571685,1.570204,1.570204,0,-37,0.008997,FALL,0
