Date,ftse_Adj Close,ftse_Volume,gbusd_Adj Close
2017-05-17,,,1.297017
2017-05-18,7436.399902,981827100,1.29584
2017-05-21,7436.399902,981827100,1.301219
2017-05-22,7496.299805,672758000,1.299528
2017-05-23,7485.299805,678940100,1.295656
2017-05-24,7514.899902,823078300,1.298027
2017-05-25,7517.700195,620554600,1.293326
2017-05-28,7517.700195,620554600,1.281427
2017-05-29,7517.700195,620554600,1.281411
2017-05-30,7526.500000,737736400,1.280902
2017-05-31,7520.000000,1864745500,1.287548
2017-06-01,7543.799805,859764100,1.288826
2017-06-04,7543.799805,859764100,1.287001
2017-06-05,7525.799805,606693000,1.290739
2017-06-06,7525.000000,842102100,1.290672
2017-06-07,7478.600098,874514700,1.29621
2017-06-08,7450.000000,867765500,1.272297
2017-06-11,7450.000000,867765500,1.273918
2017-06-12,7511.899902,691742100,1.2669780000000002
2017-06-13,7500.399902,759155200,1.2750549999999998
2017-06-14,7474.399902,943048700,1.2754450000000002
2017-06-15,7419.399902,985057200,1.275836
2017-06-18,7419.399902,985057200,1.277955
2017-06-19,7523.799805,551165300,1.2732370000000002
2017-06-20,7472.700195,1005340300,1.263248
2017-06-21,7447.799805,843652400,1.267572
2017-06-22,7439.299805,789287000,1.267813
2017-06-25,7439.299805,789287000,1.27434
2017-06-26,7446.799805,702710000,1.272459
2017-06-27,7434.399902,704817400,1.281296
2017-06-28,7387.799805,833666400,1.294147
2017-06-29,7350.299805,930392000,1.301118
2017-07-02,7350.299805,930392000,1.301643
2017-07-03,7377.100098,704804300,1.294867
2017-07-04,7357.200195,597565700,1.293494
2017-07-05,7357.200195,597565700,1.293176
